,Date,weekday,cakes,pies,cookies,smoothies,coffee,promotion
300,28-10-2006,Saturday,45,33,78,30,96,promotion
301,29-10-2006,Sunday,3,33,63,38,66,promotion
302,30-10-2006,Monday,48,51,53,26,27,promotion
303,31-10-2006,Tuesday,28,55,66,73,22,promotion
304,01-11-2006,Wednesday,22,50,61,12,24,none
305,02-11-2006,Thursday,40,26,32,17,54,none
306,03-11-2006,Friday,40,10,113,73,86,promotion
307,04-11-2006,Saturday,12,38,50,21,80,promotion
308,05-11-2006,Sunday,23,45,74,34,49,promotion
309,06-11-2006,Monday,31,18,106,26,37,promotion
310,07-11-2006,Tuesday,18,24,15,10,2,none
311,08-11-2006,Wednesday,7,36,80,26,56,promotion
312,09-11-2006,Thursday,8,58,12,69,87,promotion
313,10-11-2006,Friday,19,36,69,1,72,none
314,11-11-2006,Saturday,29,35,34,41,62,promotion
315,12-11-2006,Sunday,44,21,110,6,47,promotion
316,13-11-2006,Monday,20,6,57,25,74,none
317,14-11-2006,Tuesday,42,21,42,14,73,none
318,15-11-2006,Wednesday,30,7,28,67,13,none
319,16-11-2006,Thursday,47,9,51,3,61,none
320,17-11-2006,Friday,22,1,96,10,92,promotion
321,18-11-2006,Saturday,10,45,18,66,4,none
322,19-11-2006,Sunday,26,26,16,40,22,none
323,20-11-2006,Monday,33,39,39,66,78,promotion
324,21-11-2006,Tuesday,28,8,3,27,54,none
325,22-11-2006,Wednesday,10,10,86,42,39,none
326,23-11-2006,Thursday,29,59,36,8,59,none
327,24-11-2006,Friday,44,7,18,4,53,none
328,25-11-2006,Saturday,18,30,40,41,66,none
329,26-11-2006,Sunday,42,6,95,37,53,promotion
330,27-11-2006,Monday,1,37,64,46,81,promotion
331,28-11-2006,Tuesday,23,30,50,33,75,promotion
332,29-11-2006,Wednesday,17,40,10,46,14,none
333,30-11-2006,Thursday,43,20,26,47,9,none
334,01-12-2006,Friday,37,48,30,38,70,promotion
335,02-12-2006,Saturday,31,23,113,31,55,promotion
336,03-12-2006,Sunday,25,4,67,12,84,none
337,04-12-2006,Monday,4,8,113,42,51,promotion
338,05-12-2006,Tuesday,9,57,1,25,35,none
339,06-12-2006,Wednesday,28,30,50,43,96,promotion
340,07-12-2006,Thursday,30,21,90,41,39,promotion
341,08-12-2006,Friday,47,9,112,12,83,promotion
342,09-12-2006,Saturday,24,19,6,34,71,none
343,10-12-2006,Sunday,33,23,85,41,15,none
344,11-12-2006,Monday,20,23,14,46,32,none
345,12-12-2006,Tuesday,9,22,38,52,45,none
346,13-12-2006,Wednesday,8,47,85,21,33,none
347,14-12-2006,Thursday,24,40,108,21,32,promotion
348,15-12-2006,Friday,14,57,31,18,82,promotion
349,16-12-2006,Saturday,18,35,61,8,65,none
350,17-12-2006,Sunday,1,35,58,70,21,none
351,18-12-2006,Monday,12,17,3,73,11,none
352,19-12-2006,Tuesday,29,14,38,48,83,promotion
353,20-12-2006,Wednesday,37,29,53,36,36,none
354,21-12-2006,Thursday,26,57,23,51,96,promotion
355,22-12-2006,Friday,33,14,94,62,55,promotion
356,23-12-2006,Saturday,43,34,85,44,30,promotion
357,24-12-2006,Sunday,15,59,66,37,97,promotion
358,25-12-2006,Monday,23,27,42,31,45,none
359,26-12-2006,Tuesday,29,14,87,1,15,none
360,27-12-2006,Wednesday,21,58,55,27,81,promotion
361,28-12-2006,Thursday,19,11,72,6,33,none
362,29-12-2006,Friday,5,59,39,45,93,promotion
363,30-12-2006,Saturday,23,24,17,36,55,none
364,31-12-2006,Sunday,36,22,53,71,79,promotion
365,01-01-2007,Monday,20,28,93,25,40,promotion
366,02-01-2007,Tuesday,8,46,52,21,52,none
367,03-01-2007,Wednesday,9,56,110,21,58,promotion
368,04-01-2007,Thursday,14,22,88,45,25,none
369,05-01-2007,Friday,6,32,29,21,17,none
370,06-01-2007,Saturday,1,39,47,57,22,none
371,07-01-2007,Sunday,9,19,10,65,12,none
372,08-01-2007,Monday,16,28,42,48,38,none
373,09-01-2007,Tuesday,16,27,28,51,35,none
374,10-01-2007,Wednesday,12,24,16,28,34,none
375,11-01-2007,Thursday,5,8,27,42,23,none
376,12-01-2007,Friday,40,14,80,51,17,promotion
377,13-01-2007,Saturday,29,21,115,8,37,promotion
378,14-01-2007,Sunday,46,31,111,73,65,promotion
379,15-01-2007,Monday,27,36,15,33,27,none
380,16-01-2007,Tuesday,11,11,103,34,78,promotion
381,17-01-2007,Wednesday,47,36,17,58,90,promotion
382,18-01-2007,Thursday,28,6,30,26,79,none
383,19-01-2007,Friday,36,38,62,25,32,none
384,20-01-2007,Saturday,42,23,83,59,33,promotion
385,21-01-2007,Sunday,19,34,7,32,26,none
386,22-01-2007,Monday,35,19,56,65,8,none
387,23-01-2007,Tuesday,31,1,66,63,64,promotion
388,24-01-2007,Wednesday,44,32,82,68,77,promotion
389,25-01-2007,Thursday,19,45,1,38,17,none
390,26-01-2007,Friday,46,31,31,42,41,none
391,27-01-2007,Saturday,24,46,50,49,6,none
392,28-01-2007,Sunday,2,3,117,10,42,none
393,29-01-2007,Monday,7,22,63,62,46,none
394,30-01-2007,Tuesday,43,19,2,54,86,promotion
395,31-01-2007,Wednesday,49,17,76,46,27,promotion
396,01-02-2007,Thursday,31,36,32,25,74,none
397,02-02-2007,Friday,17,13,33,39,55,none
398,03-02-2007,Saturday,27,9,75,36,73,promotion
399,04-02-2007,Sunday,36,27,4,70,70,promotion
400,05-02-2007,Monday,43,36,62,39,93,promotion
401,06-02-2007,Tuesday,10,10,89,70,19,none
402,07-02-2007,Wednesday,45,32,13,26,29,none
403,08-02-2007,Thursday,14,45,27,16,37,none
404,09-02-2007,Friday,7,50,5,2,44,none
405,10-02-2007,Saturday,39,44,42,55,91,promotion
406,11-02-2007,Sunday,40,48,50,34,5,none
407,12-02-2007,Monday,9,1,79,72,69,promotion
408,13-02-2007,Tuesday,14,46,21,47,72,none
409,14-02-2007,Wednesday,8,55,60,57,57,promotion
410,15-02-2007,Thursday,17,21,43,12,67,none
411,16-02-2007,Friday,23,29,15,38,11,none
412,17-02-2007,Saturday,16,39,55,68,94,promotion
413,18-02-2007,Sunday,26,37,5,26,59,none
414,19-02-2007,Monday,9,31,60,5,9,none
415,20-02-2007,Tuesday,36,34,51,65,26,promotion
416,21-02-2007,Wednesday,7,36,88,25,39,none
417,22-02-2007,Thursday,18,42,117,7,17,promotion
418,23-02-2007,Friday,8,55,11,5,16,none
419,24-02-2007,Saturday,21,27,115,33,43,promotion
420,25-02-2007,Sunday,26,47,12,50,4,none
421,26-02-2007,Monday,3,19,86,60,55,promotion
422,27-02-2007,Tuesday,17,25,58,11,21,none
423,28-02-2007,Wednesday,46,25,67,68,31,promotion
424,01-03-2007,Thursday,24,15,63,15,91,promotion
425,02-03-2007,Friday,25,29,12,69,52,none
426,03-03-2007,Saturday,5,51,74,4,19,none
427,04-03-2007,Sunday,37,42,55,70,72,promotion
428,05-03-2007,Monday,45,20,54,57,29,promotion
429,06-03-2007,Tuesday,24,3,57,5,84,none
430,07-03-2007,Wednesday,31,43,31,29,31,none
431,08-03-2007,Thursday,26,50,108,2,66,promotion
432,09-03-2007,Friday,21,59,59,9,86,promotion
433,10-03-2007,Saturday,34,30,41,64,99,promotion
434,11-03-2007,Sunday,38,2,56,61,70,promotion
435,12-03-2007,Monday,24,22,109,10,69,promotion
436,13-03-2007,Tuesday,28,55,96,71,35,promotion
437,14-03-2007,Wednesday,30,18,89,20,55,promotion
438,15-03-2007,Thursday,34,56,9,21,91,promotion
439,16-03-2007,Friday,23,26,81,41,50,promotion
440,17-03-2007,Saturday,8,15,82,52,24,none
441,18-03-2007,Sunday,42,58,94,52,6,promotion
442,19-03-2007,Monday,10,23,94,22,31,none
443,20-03-2007,Tuesday,1,16,16,13,25,none
444,21-03-2007,Wednesday,20,51,58,29,34,none
445,22-03-2007,Thursday,37,19,8,47,29,none
446,23-03-2007,Friday,18,12,25,35,9,none
447,24-03-2007,Saturday,21,55,75,17,60,promotion
448,25-03-2007,Sunday,49,25,54,42,97,promotion
449,26-03-2007,Monday,4,6,51,40,90,none
450,27-03-2007,Tuesday,43,44,73,9,9,none
451,28-03-2007,Wednesday,2,7,41,58,10,none
452,29-03-2007,Thursday,21,42,75,14,27,none
453,30-03-2007,Friday,37,44,40,30,71,promotion
454,31-03-2007,Saturday,5,48,100,37,88,promotion
455,01-04-2007,Sunday,17,13,23,46,43,none
456,02-04-2007,Monday,49,13,45,26,32,none
457,03-04-2007,Tuesday,48,46,49,15,29,none
458,04-04-2007,Wednesday,11,38,54,7,80,none
459,05-04-2007,Thursday,46,19,1,41,69,none
460,06-04-2007,Friday,41,10,106,33,96,promotion
461,07-04-2007,Saturday,31,9,82,34,86,promotion
462,08-04-2007,Sunday,28,54,73,43,78,promotion
463,09-04-2007,Monday,44,41,116,26,25,promotion
464,10-04-2007,Tuesday,32,9,23,29,63,none
465,11-04-2007,Wednesday,21,1,76,36,61,none
466,12-04-2007,Thursday,7,33,94,36,97,promotion
467,13-04-2007,Friday,10,13,106,25,89,promotion
468,14-04-2007,Saturday,28,53,53,35,69,promotion
469,15-04-2007,Sunday,48,21,33,56,27,none
470,16-04-2007,Monday,36,58,47,31,54,promotion
471,17-04-2007,Tuesday,20,54,20,60,20,none
472,18-04-2007,Wednesday,13,51,116,1,67,promotion
473,19-04-2007,Thursday,19,16,118,17,86,promotion
474,20-04-2007,Friday,11,24,39,71,70,promotion
475,21-04-2007,Saturday,35,55,97,25,31,promotion
476,22-04-2007,Sunday,34,45,102,57,5,promotion
477,23-04-2007,Monday,44,18,48,32,27,none
478,24-04-2007,Tuesday,4,24,117,72,95,promotion
479,25-04-2007,Wednesday,13,10,48,25,16,none
480,26-04-2007,Thursday,37,46,74,3,12,none
481,27-04-2007,Friday,2,35,49,51,90,promotion
482,28-04-2007,Saturday,1,33,29,30,39,none
483,29-04-2007,Sunday,40,42,83,38,54,promotion
484,30-04-2007,Monday,25,7,107,65,74,promotion
485,01-05-2007,Tuesday,37,56,117,19,25,promotion
486,02-05-2007,Wednesday,36,28,22,73,90,promotion
487,03-05-2007,Thursday,6,36,31,7,55,none
488,04-05-2007,Friday,7,20,98,33,68,promotion
489,05-05-2007,Saturday,4,39,33,35,55,none
490,06-05-2007,Sunday,35,2,72,11,91,promotion
491,07-05-2007,Monday,41,34,103,65,35,promotion
492,08-05-2007,Tuesday,34,38,100,45,24,promotion
493,09-05-2007,Wednesday,29,34,25,59,96,promotion
494,10-05-2007,Thursday,5,34,66,31,67,promotion
495,11-05-2007,Friday,27,4,83,72,73,promotion
496,12-05-2007,Saturday,33,23,55,4,76,none
497,13-05-2007,Sunday,46,38,62,73,99,promotion
498,14-05-2007,Monday,10,59,1,12,74,none
499,15-05-2007,Tuesday,6,51,54,4,58,none
500,16-05-2007,Wednesday,34,34,85,25,59,promotion
501,17-05-2007,Thursday,8,4,65,64,78,promotion
502,18-05-2007,Friday,31,14,54,32,42,none
503,19-05-2007,Saturday,9,35,9,9,64,none
504,20-05-2007,Sunday,21,16,79,31,15,none
505,21-05-2007,Monday,8,44,39,39,8,none
506,22-05-2007,Tuesday,4,34,83,36,80,promotion
507,23-05-2007,Wednesday,22,31,3,57,36,none
508,24-05-2007,Thursday,28,42,4,30,55,none
509,25-05-2007,Friday,45,29,55,17,30,none
510,26-05-2007,Saturday,4,10,19,52,46,none
511,27-05-2007,Sunday,39,12,47,43,67,promotion
512,28-05-2007,Monday,21,26,115,32,57,promotion
513,29-05-2007,Tuesday,8,49,8,36,19,none
514,30-05-2007,Wednesday,20,58,7,67,97,promotion
515,31-05-2007,Thursday,32,10,1,67,76,none
